-- Logs begin at Thu 2019-11-07 09:31:01 UTC, end at Sun 2019-11-10 09:14:40 UTC. --
Nov 10 08:59:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:59:57.131294 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (297.409485ms) to execute
Nov 10 08:59:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:59:57.132551 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (155.770581ms) to execute
Nov 10 08:59:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:59:57.132852 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (101.726255ms) to execute
Nov 10 09:02:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:02:02.096101 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (126.022478ms) to execute
Nov 10 09:02:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:02:02.096230 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (229.753761ms) to execute
Nov 10 09:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:04:28.159112 I | mvcc: store.index: compact 37474927
Nov 10 09:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:04:28.165258 I | mvcc: finished scheduled compaction at 37474927 (took 4.588803ms)
Nov 10 09:09:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:09:28.170896 I | mvcc: store.index: compact 37475444
Nov 10 09:09:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:09:28.177654 I | mvcc: finished scheduled compaction at 37475444 (took 3.598488ms)
Nov 10 09:10:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:10:27.874047 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (167.722352ms) to execute
Nov 10 09:11:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:11:40.742622 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (125.81152ms) to execute
