-- Logs begin at Thu 2019-09-26 08:24:48 UTC, end at Fri 2019-09-27 21:54:05 UTC. --
Sep 27 21:32:08 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:32:08.941054 W | wal: sync duration of 1.686803914s, expected less than 1s
Sep 27 21:34:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:34:21.314473 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (180.090035ms) to execute
Sep 27 21:34:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:34:21.314918 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-np4ht\" " with result "range_response_count:1 size:2738" took too long (174.130632ms) to execute
Sep 27 21:34:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:34:56.973093 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wg9cx\" " with result "range_response_count:1 size:4261" took too long (317.18184ms) to execute
Sep 27 21:34:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:34:56.973551 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (389.794013ms) to execute
Sep 27 21:35:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:00.480336 W | wal: sync duration of 1.136309273s, expected less than 1s
Sep 27 21:35:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:00.484170 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (777.264169ms) to execute
Sep 27 21:35:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:00.484201 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (574.075195ms) to execute
Sep 27 21:35:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:00.484855 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (845.877164ms) to execute
Sep 27 21:35:14 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:14.172576 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (607.228866ms) to execute
Sep 27 21:35:14 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:14.172867 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (254.742824ms) to execute
Sep 27 21:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:17.677174 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ct7zm\" " with result "range_response_count:1 size:4140" took too long (692.643368ms) to execute
Sep 27 21:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:17.677298 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.108219604s) to execute
Sep 27 21:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:17.677753 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.123657278s) to execute
Sep 27 21:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:17.677962 W | etcdserver: request "header:<ID:14919135698845671703 > lease_revoke:<id:4f0b6adf858ba06c>" with result "size:29" took too long (686.075732ms) to execute
Sep 27 21:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:17.678768 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (647.83042ms) to execute
Sep 27 21:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:17.678984 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4376" took too long (362.23412ms) to execute
Sep 27 21:35:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:17.679187 W | etcdserver: failed to revoke 4f0b6adf858ba06c ("lease not found")
Sep 27 21:35:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:29.047360 W | wal: sync duration of 1.271105384s, expected less than 1s
Sep 27 21:35:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:29.047570 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (172.275478ms) to execute
Sep 27 21:35:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:29.047625 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (439.350033ms) to execute
Sep 27 21:35:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:29.047913 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.266764265s) to execute
Sep 27 21:35:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:29.048074 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (1.215614171s) to execute
Sep 27 21:35:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:33.842201 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (125.810655ms) to execute
Sep 27 21:35:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:33.842310 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dw6fj\" " with result "range_response_count:1 size:4265" took too long (369.201174ms) to execute
Sep 27 21:35:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:35:33.842822 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (280.299693ms) to execute
Sep 27 21:36:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:45.994796 I | mvcc: store.index: compact 30635796
