-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 15:24:11 UTC. --
Sep 27 15:09:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:09:57.375392 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.015271611s) to execute
Sep 27 15:09:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:09:57.375697 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (885.02103ms) to execute
Sep 27 15:10:30 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:10:30.011261 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (117.318989ms) to execute
Sep 27 15:10:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:10:59.693108 N | compactor: Starting auto-compaction at revision 30476886
Sep 27 15:10:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:10:59.693613 N | compactor: Finished auto-compaction at revision 30476886
Sep 27 15:11:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:11:07.321829 W | wal: sync duration of 1.636291779s, expected less than 1s
Sep 27 15:11:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:11:07.322855 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (1.245840004s) to execute
Sep 27 15:11:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:11:07.324513 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (936.396018ms) to execute
Sep 27 15:11:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:11:07.324881 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (572.381957ms) to execute
Sep 27 15:11:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:11:07.326105 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dqhgt\" " with result "range_response_count:1 size:1855" took too long (792.227247ms) to execute
Sep 27 15:11:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:11:39.860643 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (330.960182ms) to execute
Sep 27 15:11:40 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:11:40.544399 I | mvcc: store.index: compact 30562499
Sep 27 15:11:40 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:11:40.549055 I | mvcc: finished scheduled compaction at 30562499 (took 3.49121ms)
Sep 27 15:16:40 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:16:40.564371 I | mvcc: store.index: compact 30563224
Sep 27 15:16:40 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:16:40.570644 I | mvcc: finished scheduled compaction at 30563224 (took 4.977242ms)
