-- Logs begin at Fri 2019-12-20 16:35:16 UTC, end at Sun 2019-12-22 02:03:09 UTC. --
Dec 22 01:42:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:42:52.390275 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-pxbt4.15e28df431098139\" " with result "range_response_count:1 size:589" took too long (135.234849ms) to execute
Dec 22 01:44:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:44:26.434657 W | wal: sync duration of 1.220138033s, expected less than 1s
Dec 22 01:44:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:44:26.435561 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (928.546381ms) to execute
Dec 22 01:44:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:44:26.445300 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (350.962649ms) to execute
Dec 22 01:44:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:44:26.445613 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-kdqmt.15e28e165529a23c\" " with result "range_response_count:1 size:591" took too long (547.3445ms) to execute
Dec 22 01:44:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:44:37.376912 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-kdqmt.15e28e1681dea532\" " with result "range_response_count:1 size:592" took too long (727.483726ms) to execute
Dec 22 01:44:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:44:37.379803 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-sk5ct.15e28df7ad020fbc\" " with result "range_response_count:1 size:588" took too long (170.067753ms) to execute
Dec 22 01:45:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:45:29.223920 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (375.776279ms) to execute
Dec 22 01:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:46:40.367295 I | mvcc: store.index: compact 45679676
Dec 22 01:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:46:40.391029 I | mvcc: finished scheduled compaction at 45679676 (took 12.858116ms)
Dec 22 01:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:46:40.968636 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (119.463094ms) to execute
Dec 22 01:51:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:51:18.915215 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (169.511495ms) to execute
Dec 22 01:51:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:51:19.280249 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (311.650143ms) to execute
Dec 22 01:51:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:51:19.280361 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (359.686577ms) to execute
Dec 22 01:51:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:51:19.280464 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (308.352476ms) to execute
Dec 22 01:51:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:51:40.391510 I | mvcc: store.index: compact 45680529
Dec 22 01:51:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:51:40.401377 I | mvcc: finished scheduled compaction at 45680529 (took 7.594984ms)
Dec 22 01:51:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:51:40.660378 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sk5ct\" " with result "range_response_count:1 size:1731" took too long (194.781038ms) to execute
Dec 22 01:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:56:40.487326 I | mvcc: store.index: compact 45681317
Dec 22 01:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:56:40.497015 I | mvcc: finished scheduled compaction at 45681317 (took 8.143911ms)
