-- Logs begin at Sat 2019-11-09 17:59:19 UTC, end at Tue 2019-11-12 01:19:33 UTC. --
Nov 12 01:03:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:03:19.635186 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (105.505056ms) to execute
Nov 12 01:03:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:03:19.637585 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (107.978854ms) to execute
Nov 12 01:04:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:04:29.699485 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (446.369687ms) to execute
Nov 12 01:04:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:04:29.699842 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (454.028958ms) to execute
Nov 12 01:05:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:05:20.021586 W | etcdserver: request "header:<ID:14919139277667107092 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-cd86j\" mod_revision:37877735 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-cd86j\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-cd86j\" > >>" with result "size:20" took too long (413.424694ms) to execute
Nov 12 01:05:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:05:37.804855 I | mvcc: store.index: compact 37877031
Nov 12 01:05:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:05:37.810970 I | mvcc: finished scheduled compaction at 37877031 (took 4.98427ms)
Nov 12 01:05:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:05:44.876578 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (185.806852ms) to execute
Nov 12 01:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:06:19.884296 W | etcdserver: request "header:<ID:14919139277667107632 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37877891 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (129.261878ms) to execute
Nov 12 01:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:06:19.904262 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d644cff24fd27f\" " with result "range_response_count:1 size:485" took too long (149.680005ms) to execute
Nov 12 01:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:06:19.930784 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w2zmm\" " with result "range_response_count:1 size:1121" took too long (165.19605ms) to execute
Nov 12 01:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:06:19.930880 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4xq4c\" " with result "range_response_count:1 size:1118" took too long (156.935783ms) to execute
Nov 12 01:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:06:19.931750 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2q4rj\" " with result "range_response_count:1 size:1121" took too long (173.438305ms) to execute
Nov 12 01:06:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:06:20.114153 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:15 size:22437" took too long (136.128575ms) to execute
Nov 12 01:06:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:06:20.117384 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nh6xp\" " with result "range_response_count:1 size:1121" took too long (133.585426ms) to execute
Nov 12 01:06:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:06:20.117693 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lqjzx\" " with result "range_response_count:1 size:1118" took too long (109.678082ms) to execute
Nov 12 01:07:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:07:19.984320 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d644cff24fd27f\" " with result "range_response_count:1 size:485" took too long (138.092764ms) to execute
Nov 12 01:07:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:07:20.006301 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gxpt7\" " with result "range_response_count:1 size:1121" took too long (142.650799ms) to execute
Nov 12 01:07:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:07:20.006343 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ww92c\" " with result "range_response_count:1 size:1118" took too long (152.482482ms) to execute
Nov 12 01:07:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:07:20.217903 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (135.911465ms) to execute
Nov 12 01:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:07:22.482826 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (105.453057ms) to execute
Nov 12 01:10:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:10:01.527081 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (189.066913ms) to execute
Nov 12 01:10:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:10:37.844420 I | mvcc: store.index: compact 37877815
Nov 12 01:10:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:10:37.855195 I | mvcc: finished scheduled compaction at 37877815 (took 7.141746ms)
Nov 12 01:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:10:38.071840 W | etcdserver: request "header:<ID:14919139277667109808 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > lease_grant:<ttl:15-second id:4f0b6e20c7ed0baf>" with result "size:41" took too long (221.937479ms) to execute
Nov 12 01:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:10:38.072017 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (115.301504ms) to execute
Nov 12 01:10:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:10:38.072125 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (220.517491ms) to execute
Nov 12 01:11:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:11:26.869581 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (952.491557ms) to execute
Nov 12 01:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:15:37.859404 I | mvcc: store.index: compact 37878536
Nov 12 01:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:15:37.868164 I | mvcc: finished scheduled compaction at 37878536 (took 7.547702ms)
