-- Logs begin at Sun 2019-12-15 19:38:11 UTC, end at Tue 2019-12-17 11:12:06 UTC. --
Dec 17 11:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:08:48.763935 W | wal: sync duration of 1.057277341s, expected less than 1s
Dec 17 11:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:08:48.768358 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (631.992387ms) to execute
Dec 17 11:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:08:48.768437 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (138.671703ms) to execute
Dec 17 11:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:08:48.768679 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (928.091866ms) to execute
Dec 17 11:08:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:08:56.467924 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (291.931752ms) to execute
Dec 17 11:09:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:07.489001 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (127.466003ms) to execute
Dec 17 11:09:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:07.489061 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h5rsc\" " with result "range_response_count:1 size:1854" took too long (175.487588ms) to execute
Dec 17 11:09:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:10.289926 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (178.904891ms) to execute
Dec 17 11:09:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:10.411482 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (113.713567ms) to execute
Dec 17 11:09:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:11.130492 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (258.366789ms) to execute
Dec 17 11:09:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:11.130581 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (263.361569ms) to execute
Dec 17 11:09:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:12.511105 W | wal: sync duration of 1.376912509s, expected less than 1s
Dec 17 11:09:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:12.516295 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (1.373318468s) to execute
Dec 17 11:09:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:12.517771 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vlgr6\" " with result "range_response_count:1 size:1850" took too long (795.26963ms) to execute
Dec 17 11:09:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:27.195693 I | mvcc: store.index: compact 44536839
Dec 17 11:09:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:09:27.202141 I | mvcc: finished scheduled compaction at 44536839 (took 5.026403ms)
