-- Logs begin at Fri 2019-12-20 03:39:40 UTC, end at Sat 2019-12-21 12:16:07 UTC. --
Dec 21 12:07:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:44.937156 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (411.474593ms) to execute
Dec 21 12:07:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:44.937186 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (407.913144ms) to execute
Dec 21 12:07:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:44.937265 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (658.939525ms) to execute
Dec 21 12:07:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:46.441827 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (159.461238ms) to execute
Dec 21 12:07:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:50.999495 W | wal: sync duration of 1.128365937s, expected less than 1s
Dec 21 12:07:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:50.999816 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.090051362s) to execute
Dec 21 12:07:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:51.006970 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (808.294258ms) to execute
Dec 21 12:07:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:51.007006 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (548.761239ms) to execute
Dec 21 12:07:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:51.007026 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (553.556348ms) to execute
Dec 21 12:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:52.963579 W | etcdserver: request "header:<ID:14919139277709421266 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:45535920 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (962.503505ms) to execute
Dec 21 12:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:52.972096 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (810.134638ms) to execute
Dec 21 12:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:07:53.004036 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (652.190882ms) to execute
Dec 21 12:11:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:11:30.336685 I | mvcc: store.index: compact 45535734
Dec 21 12:11:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:11:30.342258 I | mvcc: finished scheduled compaction at 45535734 (took 4.459075ms)
Dec 21 12:11:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:11:55.209848 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (200.549919ms) to execute
Dec 21 12:12:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:12:40.976869 W | etcdserver: request "header:<ID:14919139277709423678 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45536553 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (103.361219ms) to execute
Dec 21 12:13:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:13:30.125356 N | compactor: Starting auto-compaction at revision 45457474
Dec 21 12:13:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 12:13:30.125705 N | compactor: Finished auto-compaction at revision 45457474
