-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 08:09:08 UTC. --
Nov 07 07:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:57:57.612399 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (175.35485ms) to execute
Nov 07 07:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:57:57.612543 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-6t6b7\" " with result "range_response_count:1 size:2634" took too long (155.275214ms) to execute
Nov 07 07:58:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:58:31.385749 I | mvcc: store.index: compact 36741112
Nov 07 07:58:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:58:31.392791 I | mvcc: finished scheduled compaction at 36741112 (took 5.665871ms)
Nov 07 08:03:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:31.398898 I | mvcc: store.index: compact 36742030
Nov 07 08:03:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:31.406077 I | mvcc: finished scheduled compaction at 36742030 (took 5.278828ms)
Nov 07 08:03:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:31.715897 W | etcdserver: request "header:<ID:14919139277662611162 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:36742611 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6412 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (126.49472ms) to execute
Nov 07 08:03:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:46.892030 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (168.569345ms) to execute
Nov 07 08:03:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:46.892184 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-pilot-service-account\" " with result "range_response_count:1 size:628" took too long (175.032272ms) to execute
Nov 07 08:03:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:46.942981 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-6t6b7\" " with result "range_response_count:1 size:3255" took too long (193.302607ms) to execute
Nov 07 08:03:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:46.943431 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (184.575535ms) to execute
Nov 07 08:03:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:47.131186 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (180.055269ms) to execute
Nov 07 08:03:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:47.131632 W | etcdserver: request "header:<ID:14919139277662611328 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-ql4g9\" mod_revision:36741944 > success:<request_put:<key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-ql4g9\" value_size:2917 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-ql4g9\" > >>" with result "size:20" took too long (137.211903ms) to execute
Nov 07 08:03:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:47.146902 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (171.302858ms) to execute
Nov 07 08:03:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:47.147106 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-6t6b7\" " with result "range_response_count:1 size:3255" took too long (161.05306ms) to execute
Nov 07 08:03:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:03:47.341861 W | etcdserver: request "header:<ID:14919139277662611340 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot-759bbfd844-6t6b7.15d4d2afacac9eef\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844-6t6b7.15d4d2afacac9eef\" value_size:425 lease:5695767240807834993 >> failure:<>>" with result "size:20" took too long (104.977443ms) to execute
Nov 07 08:04:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:04:01.917249 W | etcdserver: request "header:<ID:14919139277662611540 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:36742701 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6412 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (106.169505ms) to execute
Nov 07 08:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:04:41.574630 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (143.980147ms) to execute
Nov 07 08:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:04:41.574818 W | etcdserver: request "header:<ID:14919139277662612028 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36742836 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (125.787096ms) to execute
Nov 07 08:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 08:04:41.575698 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8spc2\" " with result "range_response_count:1 size:4405" took too long (144.95485ms) to execute
