-- Logs begin at Tue 2019-12-17 08:44:24 UTC, end at Wed 2019-12-18 21:09:17 UTC. --
Dec 18 20:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:53:33.596803 W | etcdserver: request "header:<ID:14919139277706870863 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-gfvfv\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-gfvfv\" value_size:976 >> failure:<>>" with result "size:20" took too long (102.345943ms) to execute
Dec 18 20:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:53:33.831648 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gjxnz\" " with result "range_response_count:1 size:1121" took too long (143.245525ms) to execute
Dec 18 20:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:53:33.831968 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (154.33256ms) to execute
Dec 18 20:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:53:33.832006 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7qrjk\" " with result "range_response_count:1 size:1121" took too long (156.6231ms) to execute
Dec 18 20:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:53:33.834476 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w9hmd\" " with result "range_response_count:1 size:1121" took too long (144.071824ms) to execute
Dec 18 20:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:53:33.834823 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1926fd13a892c\" " with result "range_response_count:1 size:485" took too long (141.933139ms) to execute
Dec 18 20:54:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:54:33.782582 W | etcdserver: request "header:<ID:14919139277706871550 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-wqck7.15e1928bc9364942\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-wqck7.15e1928bc9364942\" value_size:389 lease:5695767240852095389 >> failure:<>>" with result "size:20" took too long (129.85055ms) to execute
Dec 18 20:54:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:54:33.788677 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wqck7\" " with result "range_response_count:1 size:1118" took too long (146.9796ms) to execute
Dec 18 20:54:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:54:33.804783 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (103.963034ms) to execute
Dec 18 20:55:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:55:23.684136 I | mvcc: store.index: compact 44881607
Dec 18 20:55:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:55:23.690151 I | mvcc: finished scheduled compaction at 44881607 (took 4.816819ms)
Dec 18 21:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:00:23.699950 I | mvcc: store.index: compact 44882674
Dec 18 21:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:00:23.706317 I | mvcc: finished scheduled compaction at 44882674 (took 4.451801ms)
Dec 18 21:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:00:23.993932 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (205.871793ms) to execute
Dec 18 21:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:00:23.994036 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (102.056331ms) to execute
Dec 18 21:00:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:00:23.994764 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1898" took too long (149.141191ms) to execute
Dec 18 21:05:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:05:23.718119 I | mvcc: store.index: compact 44883348
Dec 18 21:05:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:05:23.724910 I | mvcc: finished scheduled compaction at 44883348 (took 5.991266ms)
