-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Tue 2019-10-22 18:21:08 UTC. --
Oct 22 18:16:36 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:16:36.566062 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (387.992828ms) to execute
Oct 22 18:17:09 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:09.426489 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (504.728534ms) to execute
Oct 22 18:17:09 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:09.426681 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (504.697965ms) to execute
Oct 22 18:17:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:14.404231 I | mvcc: store.index: compact 33527547
Oct 22 18:17:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:14.411541 I | mvcc: finished scheduled compaction at 33527547 (took 4.807242ms)
Oct 22 18:17:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:18.227143 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (422.371842ms) to execute
Oct 22 18:17:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:18.244069 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (269.685745ms) to execute
Oct 22 18:17:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:18.244339 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w8nbv\" " with result "range_response_count:1 size:1850" took too long (253.752443ms) to execute
Oct 22 18:17:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:18.244632 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (321.246133ms) to execute
Oct 22 18:17:18 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:18.245032 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (324.884874ms) to execute
Oct 22 18:17:38 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:38.483164 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (141.368745ms) to execute
Oct 22 18:17:39 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:39.374161 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.015827538s) to execute
Oct 22 18:17:39 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:39.374425 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5jgzm\" " with result "range_response_count:1 size:1730" took too long (944.502027ms) to execute
Oct 22 18:17:39 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:39.374626 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.026815565s) to execute
Oct 22 18:17:39 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:39.374845 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (207.165666ms) to execute
Oct 22 18:17:48 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:17:48.655653 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (268.25409ms) to execute
Oct 22 18:18:10 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:18:10.101841 W | wal: sync duration of 1.4019702s, expected less than 1s
Oct 22 18:18:10 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:18:10.105249 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (498.527155ms) to execute
Oct 22 18:18:10 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:18:10.105295 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (686.397788ms) to execute
Oct 22 18:18:10 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:18:10.105349 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (604.633901ms) to execute
Oct 22 18:18:45 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:18:45.231568 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (208.210102ms) to execute
Oct 22 18:18:45 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 18:18:45.231697 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (137.432538ms) to execute
