-- Logs begin at Wed 2019-10-30 17:55:18 UTC, end at Sat 2019-11-02 11:07:40 UTC. --
Nov 02 11:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:04:27.959578 W | wal: sync duration of 1.453474852s, expected less than 1s
Nov 02 11:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:04:27.962330 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (865.652639ms) to execute
Nov 02 11:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:04:27.962360 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (1.3140653s) to execute
Nov 02 11:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:04:27.962506 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.190972369s) to execute
Nov 02 11:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:04:27.962605 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.278663151s) to execute
Nov 02 11:05:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:06.272907 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (147.003209ms) to execute
Nov 02 11:05:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:15.290529 W | wal: sync duration of 1.122067837s, expected less than 1s
Nov 02 11:05:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:15.300636 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (982.086856ms) to execute
Nov 02 11:05:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:15.300724 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (437.251264ms) to execute
Nov 02 11:05:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:15.300832 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (1.130416359s) to execute
Nov 02 11:05:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:15.300893 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.05860471s) to execute
Nov 02 11:05:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:15.301049 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (990.160721ms) to execute
Nov 02 11:05:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:37.632231 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (132.949395ms) to execute
Nov 02 11:05:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:43.584021 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (171.941614ms) to execute
Nov 02 11:05:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:43.584154 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (113.595328ms) to execute
Nov 02 11:05:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:43.584339 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (204.252276ms) to execute
Nov 02 11:05:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:47.026939 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:30704" took too long (132.496612ms) to execute
Nov 02 11:05:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 11:05:47.027362 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (193.978401ms) to execute
