-- Logs begin at Sun 2019-12-15 09:07:23 UTC, end at Tue 2019-12-17 02:56:45 UTC. --
Dec 17 02:38:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:38:33.826700 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8fvjm\" " with result "range_response_count:1 size:1121" took too long (162.807104ms) to execute
Dec 17 02:38:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:38:33.826846 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dbd6g\" " with result "range_response_count:1 size:1121" took too long (160.780193ms) to execute
Dec 17 02:38:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:38:34.006257 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1081a3e02a7e7\" " with result "range_response_count:1 size:485" took too long (119.581199ms) to execute
Dec 17 02:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:39:22.732018 I | mvcc: store.index: compact 44451497
Dec 17 02:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:39:22.746089 I | mvcc: finished scheduled compaction at 44451497 (took 12.449267ms)
Dec 17 02:39:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:39:23.194819 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (153.327167ms) to execute
Dec 17 02:39:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:39:23.194938 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (221.366862ms) to execute
Dec 17 02:41:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:41:12.010523 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (223.173117ms) to execute
Dec 17 02:42:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:42:32.901876 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (520.584382ms) to execute
Dec 17 02:42:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:42:32.902070 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (535.280582ms) to execute
Dec 17 02:42:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:42:32.902498 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (168.34289ms) to execute
Dec 17 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:44:22.745599 I | mvcc: store.index: compact 44452315
Dec 17 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:44:22.751134 I | mvcc: finished scheduled compaction at 44452315 (took 4.442313ms)
Dec 17 02:44:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:44:23.011776 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (149.92674ms) to execute
Dec 17 02:49:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:49:22.760912 I | mvcc: store.index: compact 44452833
Dec 17 02:49:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:49:22.766840 I | mvcc: finished scheduled compaction at 44452833 (took 4.095801ms)
Dec 17 02:51:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:51:27.431706 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (127.642301ms) to execute
Dec 17 02:52:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:52:29.581910 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (621.943609ms) to execute
Dec 17 02:52:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:52:29.609769 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (132.047797ms) to execute
Dec 17 02:54:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:54:22.793601 I | mvcc: store.index: compact 44453352
Dec 17 02:54:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:54:22.800720 I | mvcc: finished scheduled compaction at 44453352 (took 5.405007ms)
