-- Logs begin at Mon 2019-09-30 12:51:38 UTC, end at Wed 2019-10-02 03:59:24 UTC. --
Oct 02 03:33:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:33:26.761935 I | mvcc: store.index: compact 31353164
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.631991 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-xjwl5\" " with result "range_response_count:1 size:2114" took too long (193.50333ms) to execute
Oct 02 03:36:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.632692 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (196.478817ms) to execute
Oct 02 03:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.992016 W | etcdserver: request "header:<ID:14919135698849409418 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" mod_revision:31354925 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" value_size:2463 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" > >>" with result "size:20" took too long (130.235976ms) to execute
Oct 02 03:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:20.992331 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/reportnothings\" range_end:\"/registry/config.istio.io/reportnothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (136.65505ms) to execute
Oct 02 03:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:21.007636 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (150.145707ms) to execute
Oct 02 03:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:36:21.492241 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (148.726184ms) to execute
Oct 02 03:37:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:37:26.050611 I | etcdserver: start to snapshot (applied: 34634334, lastsnap: 34624333)
Oct 02 03:37:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:37:26.107145 I | etcdserver: saved snapshot at index 34634334
Oct 02 03:37:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:37:26.108376 I | etcdserver: compacted raft log at 34629334
Oct 02 03:37:49 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:37:49.653767 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000b-00000000020fb706.snap successfully
Oct 02 03:38:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:26.777726 I | mvcc: store.index: compact 31355691
Oct 02 03:38:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:26.788514 I | mvcc: finished scheduled compaction at 31355691 (took 9.374708ms)
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.704520 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.216352928s) to execute
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.704601 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (1.391283899s) to execute
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.704833 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.062141736s) to execute
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.704968 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.177540015s) to execute
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.705125 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.493371971s) to execute
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.705314 W | etcdserver: request "header:<ID:14919135698849410718 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:31356410 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4301 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (1.001466445s) to execute
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.731988 W | wal: sync duration of 1.02883889s, expected less than 1s
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.733314 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (822.936301ms) to execute
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.736230 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (105.141979ms) to execute
Oct 02 03:38:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:38:28.736268 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (383.637918ms) to execute
Oct 02 03:39:55 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:39:55.651312 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (233.05808ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.165633 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h57ff\" " with result "range_response_count:1 size:4238" took too long (104.878241ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.404172 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (148.765126ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.404296 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-qhjlv\" " with result "range_response_count:1 size:2127" took too long (151.623683ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.404628 W | etcdserver: request "header:<ID:14919135698849411919 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:31356636 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:5886 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (105.779129ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.669308 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (181.293795ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.669603 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (186.480543ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.697229 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (188.511372ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.697303 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (135.816911ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.697584 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (190.939373ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.697660 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-58rbd\" " with result "range_response_count:1 size:1758" took too long (188.286476ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.908564 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (172.098108ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.908899 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (172.723734ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.909067 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-4dr85\" " with result "range_response_count:1 size:3111" took too long (175.724067ms) to execute
Oct 02 03:40:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:43.911861 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-snbg9\" " with result "range_response_count:1 size:3496" took too long (150.732856ms) to execute
Oct 02 03:40:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:44.158211 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-58rbd\" " with result "range_response_count:1 size:1758" took too long (190.273821ms) to execute
Oct 02 03:40:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:44.158720 W | etcdserver: request "header:<ID:14919135698849411972 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-tgnfj\" mod_revision:31356694 > success:<request_put:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-tgnfj\" value_size:2553 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-tgnfj\" > >>" with result "size:20" took too long (144.153352ms) to execute
Oct 02 03:40:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:44.176913 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (184.97739ms) to execute
Oct 02 03:40:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:44.440662 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-xjwl5\" " with result "range_response_count:1 size:2241" took too long (178.035303ms) to execute
Oct 02 03:40:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:44.440767 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-citadel-57cff9f899-58rbd.15c9b77190ff1cd4\" " with result "range_response_count:1 size:565" took too long (195.508392ms) to execute
Oct 02 03:40:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:44.441050 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-58rbd\" " with result "range_response_count:1 size:1758" took too long (176.128595ms) to execute
Oct 02 03:40:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:44.441097 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-58rbd\" " with result "range_response_count:1 size:1758" took too long (198.535906ms) to execute
Oct 02 03:40:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 03:40:44.441265 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (177.284187ms) to execute
