-- Logs begin at Mon 2019-12-16 06:00:50 UTC, end at Tue 2019-12-17 19:14:06 UTC. --
Dec 17 18:59:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:59:40.105541 W | etcdserver: request "header:<ID:14919139277705833195 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e13da41de4bad8\" mod_revision:44617677 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e13da41de4bad8\" value_size:386 lease:5695767240851057323 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e13da41de4bad8\" > >>" with result "size:20" took too long (110.413875ms) to execute
Dec 17 18:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:59:42.345486 W | etcdserver: request "header:<ID:14919139277705833247 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:44617679 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (111.443983ms) to execute
Dec 17 18:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:59:42.365314 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qqgbg\" " with result "range_response_count:1 size:1498" took too long (103.386577ms) to execute
Dec 17 18:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:59:42.368275 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jtmb4\" " with result "range_response_count:1 size:1502" took too long (104.968306ms) to execute
Dec 17 18:59:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:59:46.517274 I | mvcc: store.index: compact 44616771
Dec 17 18:59:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:59:46.519342 W | etcdserver: request "header:<ID:14919139277705833311 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:44616771 > " with result "size:7" took too long (111.80032ms) to execute
Dec 17 18:59:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:59:46.528639 I | mvcc: finished scheduled compaction at 44616771 (took 9.326115ms)
Dec 17 19:04:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 19:04:46.530012 I | mvcc: store.index: compact 44617749
Dec 17 19:04:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 19:04:46.536728 I | mvcc: finished scheduled compaction at 44617749 (took 5.45518ms)
Dec 17 19:09:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 19:09:46.546005 I | mvcc: store.index: compact 44618324
Dec 17 19:09:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 19:09:46.553974 I | mvcc: finished scheduled compaction at 44618324 (took 6.707125ms)
