-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Mon 2019-11-04 23:12:04 UTC. --
Nov 04 22:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:57:12.432492 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (498.49968ms) to execute
Nov 04 22:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:57:12.432688 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (505.113695ms) to execute
Nov 04 22:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:57:16.982164 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (343.637034ms) to execute
Nov 04 22:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:57:44.383733 I | mvcc: store.index: compact 36179806
Nov 04 22:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:57:44.389279 I | mvcc: finished scheduled compaction at 36179806 (took 4.631376ms)
Nov 04 22:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:59:27.778162 W | etcdserver: read-only range request "key:\"/registry/limitranges/default/\" range_end:\"/registry/limitranges/default0\" " with result "range_response_count:0 size:7" took too long (108.0203ms) to execute
Nov 04 22:59:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:59:37.431275 I | etcdserver: start to snapshot (applied: 39934929, lastsnap: 39924928)
Nov 04 22:59:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:59:37.686343 I | etcdserver: saved snapshot at index 39934929
Nov 04 22:59:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:59:37.687226 I | etcdserver: compacted raft log at 39929929
Nov 04 22:59:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:59:38.414297 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000260987c.snap successfully
Nov 04 23:02:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:02:44.396015 I | mvcc: store.index: compact 36180712
Nov 04 23:02:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:02:44.401795 I | mvcc: finished scheduled compaction at 36180712 (took 4.658081ms)
Nov 04 23:06:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:06:28.336007 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (178.929167ms) to execute
Nov 04 23:06:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:06:28.336247 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (188.183268ms) to execute
Nov 04 23:06:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:06:28.336414 W | etcdserver: request "header:<ID:14919139277660429679 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:36182235 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (136.113981ms) to execute
Nov 04 23:07:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:07:44.412625 I | mvcc: store.index: compact 36181565
Nov 04 23:07:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:07:44.418508 I | mvcc: finished scheduled compaction at 36181565 (took 4.506867ms)
Nov 04 23:07:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:07:44.571917 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (150.394192ms) to execute
